League,match_id,phase,map_name,team1_name,team1_score,team2_name,team2_score,player_team,player_name,agents,role,kills,deaths,assists,acs,adr,rating,kast,first_kills,first_deaths,fk_diff,RIV,hs_pct,k2,k3,k4,k5,clutch_1v1,clutch_1v2,clutch_1v3,clutch_1v4,clutch_1v5,econ,plants,defuses,game_id,Year
VJC Split 1,614890,Advance Stage (A): Day 3,Abyss,ZETA DIVISION Academy,15,NORTHEPTION Youth,13,ZETA DIVISION Academy,yuki,Veto,Sentinel,24,21,0,230,150,1.02,64,5,3,2,0.34,43,4,1,1,0,1,0,0,0,0,53,1,2,252090,2026
VJC Split 1,614885,Advance Stage (A): Day 1,Pearl,ZETA DIVISION Academy,10,QT DIG∞,13,ZETA DIVISION Academy,yuki,Killjoy,Sentinel,20,21,4,256,156,1.01,70,3,1,2,-0.01,24,3,1,1,0,0,1,0,0,0,57,0,1,252075,2026
VJC Split 1,614885,Advance Stage (A): Day 1,Pearl,ZETA DIVISION Academy,10,QT DIG∞,13,ZETA DIVISION Academy,ayuta,Tejo,Initiator,13,16,7,163,109,0.76,61,1,3,-2,0.37,35,3,1,0,0,0,0,0,0,0,46,4,1,252075,2026
VJC Split 1,614885,Advance Stage (A): Day 1,Split,ZETA DIVISION Academy,6,QT DIG∞,13,ZETA DIVISION Academy,ayuta,Tejo,Initiator,7,13,4,124,83,0.58,53,1,1,0,0.26,15,0,1,0,0,0,0,0,0,0,34,4,0,252076,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Split,WEC C,13,ZETA DIVISION Academy,9,ZETA DIVISION Academy,ayuta,Tejo,Initiator,8,15,4,125,105,0.67,59,0,3,-3,0.19,18,2,0,0,0,0,0,0,0,0,44,8,0,252081,2026
VJC Split 1,614890,Advance Stage (A): Day 3,Split,ZETA DIVISION Academy,13,NORTHEPTION Youth,7,ZETA DIVISION Academy,ayuta,Tejo,Initiator,12,12,4,191,130,0.96,85,2,1,1,0.68,31,1,1,0,0,0,0,0,0,0,51,3,0,252091,2026
VJC Split 1,614892,Advance Stage (A): Day 3,Split,BC SWELL,11,ZETA DIVISION Academy,13,ZETA DIVISION Academy,ayuta,Tejo,Initiator,16,21,9,204,133,0.8,75,1,3,-2,0.12,19,3,0,1,0,0,0,0,0,0,46,4,0,252097,2026
VJC Split 1,614890,Advance Stage (A): Day 3,Abyss,ZETA DIVISION Academy,15,NORTHEPTION Youth,13,ZETA DIVISION Academy,ayuta,Sova,Initiator,19,21,4,188,138,0.87,79,3,3,0,0.39,35,5,0,0,0,0,0,0,0,0,52,4,0,252090,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Bind,WEC C,13,ZETA DIVISION Academy,8,ZETA DIVISION Academy,ayuta,Fade,Initiator,8,19,6,116,74,0.45,81,2,4,-2,0.20,25,2,0,0,0,0,0,0,0,0,29,4,0,252345,2026
VJC Split 1,614892,Advance Stage (A): Day 3,Bind,BC SWELL,9,ZETA DIVISION Academy,13,ZETA DIVISION Academy,ayuta,Fade,Initiator,14,14,4,169,111,0.85,86,0,2,-2,0.67,41,2,1,0,0,0,0,0,0,0,48,5,0,252096,2026
VJC Split 1,614885,Advance Stage (A): Day 1,Pearl,ZETA DIVISION Academy,10,QT DIG∞,13,ZETA DIVISION Academy,winter,Yoru,Duelist,20,17,6,245,165,1.05,70,4,1,3,0.54,38,4,1,1,0,0,1,0,0,0,55,2,0,252075,2026
VJC Split 1,614885,Advance Stage (A): Day 1,Split,ZETA DIVISION Academy,6,QT DIG∞,13,ZETA DIVISION Academy,winter,Yoru,Duelist,18,13,2,263,167,1.16,68,3,4,-1,0.55,34,4,2,0,0,0,0,0,0,0,63,0,1,252076,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Split,WEC C,13,ZETA DIVISION Academy,9,ZETA DIVISION Academy,winter,Yoru,Duelist,24,16,2,336,207,1.37,64,4,3,1,0.32,28,6,3,0,0,0,0,0,0,0,81,0,0,252081,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Bind,WEC C,13,ZETA DIVISION Academy,8,ZETA DIVISION Academy,winter,Yoru,Duelist,19,18,3,267,172,1.13,71,2,0,2,0.07,37,8,0,0,0,1,0,0,0,0,64,0,0,252345,2026
VJC Split 1,614890,Advance Stage (A): Day 3,Abyss,ZETA DIVISION Academy,15,NORTHEPTION Youth,13,ZETA DIVISION Academy,hatto,Yoru,Duelist,12,22,6,139,93,0.56,61,2,4,-2,-0.07,19,1,1,0,0,0,0,0,0,0,34,2,0,252090,2026
VJC Split 1,614890,Advance Stage (A): Day 3,Split,ZETA DIVISION Academy,13,NORTHEPTION Youth,7,ZETA DIVISION Academy,winter,Yoru,Duelist,30,10,3,398,256,2.04,85,6,1,5,1.09,45,7,2,1,0,1,0,0,0,0,100,2,1,252091,2026
VJC Split 1,614892,Advance Stage (A): Day 3,Bind,BC SWELL,9,ZETA DIVISION Academy,13,ZETA DIVISION Academy,winter,Yoru,Duelist,23,13,3,291,176,1.46,82,10,1,9,0.96,39,4,1,0,0,0,0,0,0,0,65,2,0,252096,2026
VJC Split 1,614892,Advance Stage (A): Day 3,Split,BC SWELL,11,ZETA DIVISION Academy,13,ZETA DIVISION Academy,winter,Yoru,Duelist,17,19,5,205,147,0.86,67,1,3,-2,0.26,32,4,1,0,0,0,0,0,0,0,51,1,1,252097,2026
VJC Split 1,614885,Advance Stage (A): Day 1,Split,ZETA DIVISION Academy,6,QT DIG∞,13,ZETA DIVISION Academy,hatto,Waylay,Duelist,8,15,3,111,73,0.48,63,2,2,0,0.35,29,0,0,0,0,0,0,0,0,0,29,0,2,252076,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Split,WEC C,13,ZETA DIVISION Academy,9,ZETA DIVISION Academy,hatto,Waylay,Duelist,16,17,4,213,143,0.89,68,4,2,2,0.37,22,4,0,0,0,0,0,0,0,0,56,0,0,252081,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Bind,WEC C,13,ZETA DIVISION Academy,8,ZETA DIVISION Academy,hatto,Waylay,Duelist,14,17,4,186,118,0.76,67,2,5,-3,0.34,30,1,0,0,1,0,0,0,0,0,44,1,0,252345,2026
VJC Split 1,614890,Advance Stage (A): Day 3,Split,ZETA DIVISION Academy,13,NORTHEPTION Youth,7,ZETA DIVISION Academy,hatto,Waylay,Duelist,16,15,3,225,133,0.98,80,5,3,2,0.56,29,5,0,0,0,0,0,0,0,0,49,0,1,252091,2026
VJC Split 1,614892,Advance Stage (A): Day 3,Bind,BC SWELL,9,ZETA DIVISION Academy,13,ZETA DIVISION Academy,hatto,Waylay,Duelist,14,14,6,188,123,0.91,77,3,3,0,0.70,32,5,0,0,0,0,0,0,0,0,55,0,0,252096,2026
VJC Split 1,614892,Advance Stage (A): Day 3,Split,BC SWELL,11,ZETA DIVISION Academy,13,ZETA DIVISION Academy,hatto,Waylay,Duelist,16,20,8,219,144,0.91,71,5,4,1,0.24,17,4,0,0,0,0,1,0,0,0,50,1,0,252097,2026
VJC Split 1,614885,Advance Stage (A): Day 1,Pearl,ZETA DIVISION Academy,10,QT DIG∞,13,ZETA DIVISION Academy,hatto,Neon,Duelist,17,15,4,205,118,0.98,74,3,4,-1,0.62,16,3,1,1,0,0,0,0,0,0,52,0,0,252075,2026
VJC Split 1,614890,Advance Stage (A): Day 3,Abyss,ZETA DIVISION Academy,15,NORTHEPTION Youth,13,ZETA DIVISION Academy,winter,Jett,Duelist,30,17,4,288,192,1.58,93,3,1,2,0.99,35,9,1,0,0,1,0,0,0,0,70,2,0,252090,2026
VJC Split 1,614885,Advance Stage (A): Day 1,Split,ZETA DIVISION Academy,6,QT DIG∞,13,ZETA DIVISION Academy,yuki,Viper,Controller,13,19,5,214,135,0.65,63,1,1,0,-0.12,18,2,1,0,0,0,0,0,0,0,48,0,0,252076,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Split,WEC C,13,ZETA DIVISION Academy,9,ZETA DIVISION Academy,yuki,Viper,Controller,17,15,2,223,161,1.11,68,2,1,1,0.39,35,5,1,0,0,1,0,0,0,0,67,0,2,252081,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Bind,WEC C,13,ZETA DIVISION Academy,8,ZETA DIVISION Academy,yuki,Viper,Controller,15,18,4,202,124,0.83,67,3,3,0,0.17,52,2,0,1,0,0,0,0,0,0,47,0,0,252345,2026
VJC Split 1,614890,Advance Stage (A): Day 3,Split,ZETA DIVISION Academy,13,NORTHEPTION Youth,7,ZETA DIVISION Academy,yuki,Viper,Controller,20,14,4,259,177,1.1,65,0,2,-2,0.55,32,2,3,1,0,0,0,0,0,0,60,1,0,252091,2026
VJC Split 1,614892,Advance Stage (A): Day 3,Bind,BC SWELL,9,ZETA DIVISION Academy,13,ZETA DIVISION Academy,yuki,Viper,Controller,18,12,10,237,146,1.44,82,1,1,0,0.77,27,2,1,0,1,1,1,0,0,0,67,0,1,252096,2026
VJC Split 1,614892,Advance Stage (A): Day 3,Split,BC SWELL,11,ZETA DIVISION Academy,13,ZETA DIVISION Academy,yuki,Viper,Controller,19,15,5,197,117,1.21,67,3,2,1,0.59,15,2,3,0,0,0,1,0,0,0,55,0,2,252097,2026
VJC Split 1,614885,Advance Stage (A): Day 1,Split,ZETA DIVISION Academy,6,QT DIG∞,13,ZETA DIVISION Academy,ren,Omen,Controller,14,14,3,188,114,0.99,63,1,3,-2,0.32,56,4,0,0,0,0,0,0,0,0,50,0,0,252076,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Split,WEC C,13,ZETA DIVISION Academy,9,ZETA DIVISION Academy,ren,Omen,Controller,10,15,10,163,103,0.86,68,3,0,3,0.35,43,1,0,0,0,0,0,0,0,0,46,1,0,252081,2026
VJC Split 1,614890,Advance Stage (A): Day 3,Split,ZETA DIVISION Academy,13,NORTHEPTION Youth,7,ZETA DIVISION Academy,ren,Omen,Controller,12,12,11,174,127,1,90,0,0,0,0.87,19,2,0,0,0,0,0,0,0,0,48,1,0,252091,2026
VJC Split 1,614892,Advance Stage (A): Day 3,Split,BC SWELL,11,ZETA DIVISION Academy,13,ZETA DIVISION Academy,ren,Omen,Controller,25,15,9,270,195,1.62,79,0,2,-2,0.81,38,7,1,0,0,1,0,0,0,0,82,2,2,252097,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Bind,WEC C,13,ZETA DIVISION Academy,8,ZETA DIVISION Academy,ren,Brimstone,Controller,16,16,10,227,153,1.1,71,0,0,0,0.32,41,2,1,0,0,2,0,0,0,0,64,3,1,252345,2026
VJC Split 1,614892,Advance Stage (A): Day 3,Bind,BC SWELL,9,ZETA DIVISION Academy,13,ZETA DIVISION Academy,ren,Brimstone,Controller,13,17,10,180,102,0.81,68,1,0,1,0.23,22,3,0,0,0,0,0,0,0,0,38,3,0,252096,2026
VJC Split 1,614885,Advance Stage (A): Day 1,Pearl,ZETA DIVISION Academy,10,QT DIG∞,13,ZETA DIVISION Academy,ren,Astra,Controller,10,16,8,134,81,0.72,61,1,2,-1,0.23,52,3,0,0,0,0,0,0,0,0,32,1,0,252075,2026
VJC Split 1,614890,Advance Stage (A): Day 3,Abyss,ZETA DIVISION Academy,15,NORTHEPTION Youth,13,ZETA DIVISION Academy,ren,Astra,Controller,22,18,7,210,135,1.29,86,3,0,3,0.66,42,1,3,0,0,0,0,0,0,0,53,0,2,252090,2026
VJC Split 1,648100,Phase 2: Upper Quarterfinals,Haven,FENNEL,9,WEC C,13,WEC C,RONY,Vyse,Sentinel,15,16,6,192,129,0.9,77,1,2,-1,0.48,18,3,1,0,0,0,0,0,0,0,44,0,0,260510,2026
VJC Split 1,614884,Advance Stage (A): Day 1,Split,BC SWELL,13,WEC C,15,WEC C,RONY,Sage,Sentinel,29,18,13,299,203,1.57,75,7,1,6,1.04,30,5,2,1,0,0,0,0,0,0,79,2,1,252073,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Split,WEC C,13,ZETA DIVISION Academy,9,WEC C,RONY,Sage,Sentinel,16,13,9,194,129,1.18,68,3,2,1,0.77,27,4,0,0,0,0,0,0,0,0,49,1,2,252081,2026
VJC Split 1,614889,Advance Stage (A): Day 2,Split,NORTHEPTION Youth,13,WEC C,15,WEC C,RONY,Sage,Sentinel,23,21,7,256,170,1.2,79,3,1,2,0.32,27,2,1,2,0,0,0,0,0,0,56,0,0,252088,2026
VJC Split 1,614891,Advance Stage (A): Day 3,Split,QT DIG∞,7,WEC C,13,WEC C,RONY,Sage,Sentinel,19,12,5,264,186,1.38,70,0,1,-1,0.60,30,2,1,1,0,0,0,0,0,0,73,0,0,252094,2026
VJC Split 1,628545,Phase 1: Upper Round 1,Split,Murash Gaming,6,WEC C,13,WEC C,RONY,Sage,Sentinel,13,14,5,177,122,0.88,74,1,3,-2,0.56,34,1,2,0,0,0,0,0,0,0,41,0,0,255102,2026
VJC Split 1,628551,Phase 1: Lower Round 1,Split,REJECT,13,WEC C,9,WEC C,RONY,Sage,Sentinel,13,17,4,154,109,0.73,55,0,4,-4,0.19,21,2,1,0,0,1,1,0,0,0,43,1,0,255120,2026
VJC Split 1,628551,Phase 1: Lower Round 1,Pearl,REJECT,13,WEC C,4,WEC C,RONY,Sage,Sentinel,9,15,4,158,106,0.72,59,0,0,0,0.04,16,2,0,0,0,1,0,0,0,0,44,0,1,255121,2026
VJC Split 1,648106,Phase 2: Lower Round 1,Split,WEC C,12,RIDDLE ORDER,14,WEC C,RONY,Sage,Sentinel,12,20,5,125,80,0.67,62,2,2,0,0.02,20,1,0,0,0,0,0,0,0,0,30,0,1,260527,2026
VJC Split 1,614884,Advance Stage (A): Day 1,Haven,BC SWELL,13,WEC C,10,WEC C,tarkun,Killjoy,Sentinel,24,16,2,287,191,1.34,74,3,1,2,0.56,42,1,3,0,0,0,0,0,0,0,81,0,0,252074,2026
VJC Split 1,614891,Advance Stage (A): Day 3,Haven,QT DIG∞,13,WEC C,9,WEC C,tarkun,Killjoy,Sentinel,18,14,3,243,161,1.32,68,6,3,3,0.56,27,2,2,0,0,1,0,0,0,0,66,0,0,252095,2026
VJC Split 1,628545,Phase 1: Upper Round 1,Haven,Murash Gaming,13,WEC C,6,WEC C,tarkun,Killjoy,Sentinel,15,15,0,237,147,1,53,3,2,1,0.05,25,5,1,0,0,0,0,0,0,0,59,0,0,255103,2026
VJC Split 1,648100,Phase 2: Upper Quarterfinals,Lotus,FENNEL,13,WEC C,6,WEC C,tarkun,Killjoy,Sentinel,19,17,5,282,184,1.14,63,1,3,-2,0.13,36,4,3,0,0,0,0,0,0,0,71,0,1,260511,2026
VJC Split 1,614884,Advance Stage (A): Day 1,Bind,BC SWELL,13,WEC C,2,WEC C,tarkun,Cypher,Sentinel,11,14,0,226,162,0.99,53,2,1,1,-0.09,45,2,1,0,0,0,0,0,0,0,64,0,0,252072,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Bind,WEC C,13,ZETA DIVISION Academy,8,WEC C,tarkun,Cypher,Sentinel,19,15,3,249,179,1.22,81,3,1,2,0.60,42,3,1,0,0,0,0,0,0,0,65,0,0,252345,2026
VJC Split 1,614891,Advance Stage (A): Day 3,Bind,QT DIG∞,13,WEC C,5,WEC C,tarkun,Cypher,Sentinel,6,13,1,91,58,0.41,44,1,1,0,0.20,25,1,0,0,0,0,0,0,0,0,24,0,0,252093,2026
VJC Split 1,648100,Phase 2: Upper Quarterfinals,Pearl,FENNEL,13,WEC C,5,WEC C,tarkun,Cypher,Sentinel,10,16,2,185,111,0.68,50,0,4,-4,-0.16,60,2,1,0,0,1,0,0,0,0,39,0,1,260509,2026
VJC Split 1,648106,Phase 2: Lower Round 1,Fracture,WEC C,6,RIDDLE ORDER,13,WEC C,tarkun,Cypher,Sentinel,16,16,2,233,133,0.95,68,4,2,2,0.25,26,3,0,0,0,0,0,0,0,0,51,0,0,260528,2026
VJC Split 1,614884,Advance Stage (A): Day 1,Split,BC SWELL,13,WEC C,15,WEC C,tarkun,Chamber,Sentinel,25,21,6,260,180,1.13,75,1,3,-2,0.41,31,5,1,0,0,0,0,0,0,0,66,1,0,252073,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Split,WEC C,13,ZETA DIVISION Academy,9,WEC C,tarkun,Chamber,Sentinel,15,15,3,186,133,1.02,68,3,2,1,0.47,25,4,0,0,0,0,1,0,0,0,55,0,0,252081,2026
VJC Split 1,614889,Advance Stage (A): Day 2,Corrode,NORTHEPTION Youth,11,WEC C,13,WEC C,tarkun,Chamber,Sentinel,23,14,5,295,183,1.52,83,6,1,5,0.79,27,4,2,1,0,0,0,0,0,0,76,0,0,252087,2026
VJC Split 1,614889,Advance Stage (A): Day 2,Split,NORTHEPTION Youth,13,WEC C,15,WEC C,tarkun,Chamber,Sentinel,18,16,1,180,111,1.06,68,6,4,2,0.62,32,4,0,0,0,0,0,0,0,0,43,0,0,252088,2026
VJC Split 1,614891,Advance Stage (A): Day 3,Split,QT DIG∞,7,WEC C,13,WEC C,tarkun,Chamber,Sentinel,15,12,1,195,151,1.25,70,4,4,0,0.70,56,0,1,1,0,2,0,1,0,0,70,1,2,252094,2026
VJC Split 1,628545,Phase 1: Upper Round 1,Split,Murash Gaming,6,WEC C,13,WEC C,tarkun,Chamber,Sentinel,11,15,3,151,93,0.66,58,1,2,-1,0.24,11,3,0,0,0,0,0,0,0,0,43,0,0,255102,2026
VJC Split 1,628545,Phase 1: Upper Round 1,Bind,Murash Gaming,13,WEC C,6,WEC C,tarkun,Chamber,Sentinel,19,15,2,276,174,1.27,74,4,1,3,0.36,28,3,0,1,0,0,1,0,0,0,71,0,0,255104,2026
VJC Split 1,628551,Phase 1: Lower Round 1,Split,REJECT,13,WEC C,9,WEC C,tarkun,Chamber,Sentinel,7,20,4,99,67,0.33,45,3,2,1,-0.22,15,1,0,0,0,0,0,0,0,0,30,0,0,255120,2026
VJC Split 1,628551,Phase 1: Lower Round 1,Pearl,REJECT,13,WEC C,4,WEC C,tarkun,Chamber,Sentinel,12,16,1,199,148,0.73,65,3,4,-1,0.24,33,2,0,0,0,0,0,0,0,0,66,1,0,255121,2026
VJC Split 1,648100,Phase 2: Upper Quarterfinals,Haven,FENNEL,9,WEC C,13,WEC C,tarkun,Chamber,Sentinel,21,14,2,253,160,1.35,91,6,1,5,0.87,21,2,2,0,0,1,0,0,0,0,67,0,0,260510,2026
VJC Split 1,648106,Phase 2: Lower Round 1,Split,WEC C,12,RIDDLE ORDER,14,WEC C,tarkun,Chamber,Sentinel,27,20,3,304,201,1.36,73,3,3,0,0.36,45,4,2,1,0,0,0,0,0,0,73,0,0,260527,2026
VJC Split 1,648100,Phase 2: Upper Quarterfinals,Lotus,FENNEL,13,WEC C,6,WEC C,RONY,Tejo,Initiator,16,16,8,245,167,1.15,100,1,0,1,0.51,30,2,1,0,0,0,0,0,0,0,66,4,1,260511,2026
VJC Split 1,648106,Phase 2: Lower Round 1,Fracture,WEC C,6,RIDDLE ORDER,13,WEC C,RONY,Tejo,Initiator,13,14,2,209,166,1.19,53,2,1,1,0.11,27,2,0,1,0,0,0,0,0,0,64,3,1,260528,2026
VJC Split 1,628545,Phase 1: Upper Round 1,Haven,Murash Gaming,13,WEC C,6,WEC C,RONY,Sova,Initiator,5,15,4,93,70,0.42,58,2,3,-1,0.22,13,0,0,0,0,1,0,0,0,0,26,5,0,255103,2026
VJC Split 1,628551,Phase 1: Lower Round 1,Pearl,REJECT,13,WEC C,4,WEC C,Jinbay,Sova,Initiator,10,17,4,173,109,0.51,65,2,0,2,0.09,21,3,0,0,0,0,1,0,0,0,42,1,0,255121,2026
VJC Split 1,648100,Phase 2: Upper Quarterfinals,Haven,FENNEL,9,WEC C,13,WEC C,Jinbay,Sova,Initiator,15,14,4,182,124,1.14,73,1,1,0,0.48,41,0,2,0,0,0,0,0,0,0,47,6,3,260510,2026
VJC Split 1,614884,Advance Stage (A): Day 1,Split,BC SWELL,13,WEC C,15,WEC C,Jinbay,Skye,Initiator,16,22,11,161,99,0.91,82,1,1,0,0.16,18,2,0,0,0,0,0,0,0,0,34,8,1,252073,2026
VJC Split 1,614884,Advance Stage (A): Day 1,Haven,BC SWELL,13,WEC C,10,WEC C,RONY,Skye,Initiator,20,16,9,253,154,1.26,91,5,1,4,0.78,49,4,1,0,0,0,0,0,0,0,60,8,0,252074,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Split,WEC C,13,ZETA DIVISION Academy,9,WEC C,Jinbay,Skye,Initiator,12,13,12,166,109,1.08,77,0,1,-1,0.63,21,3,0,0,0,0,0,0,0,0,46,8,0,252081,2026
VJC Split 1,614889,Advance Stage (A): Day 2,Split,NORTHEPTION Youth,13,WEC C,15,WEC C,Jinbay,Skye,Initiator,17,14,12,183,124,1.21,75,0,0,0,0.76,29,3,1,0,0,0,0,0,0,0,58,10,1,252088,2026
VJC Split 1,614891,Advance Stage (A): Day 3,Split,QT DIG∞,7,WEC C,13,WEC C,Jinbay,Skye,Initiator,16,14,6,214,143,1.21,85,0,2,-2,0.55,26,3,1,0,0,1,0,0,0,0,58,4,1,252094,2026
VJC Split 1,614891,Advance Stage (A): Day 3,Haven,QT DIG∞,13,WEC C,9,WEC C,RONY,Skye,Initiator,13,17,6,163,108,0.89,68,1,1,0,0.21,39,0,0,1,0,1,0,0,0,0,38,5,1,252095,2026
VJC Split 1,628545,Phase 1: Upper Round 1,Split,Murash Gaming,6,WEC C,13,WEC C,Jinbay,Skye,Initiator,12,12,4,152,122,1.09,84,0,0,0,0.68,32,3,0,0,0,3,0,0,0,0,49,9,1,255102,2026
VJC Split 1,628551,Phase 1: Lower Round 1,Split,REJECT,13,WEC C,9,WEC C,Jinbay,Skye,Initiator,15,19,7,187,108,0.78,64,1,0,1,0.07,28,3,0,0,0,0,0,0,0,0,45,4,0,255120,2026
VJC Split 1,648100,Phase 2: Upper Quarterfinals,Pearl,FENNEL,13,WEC C,5,WEC C,RONY,Skye,Initiator,9,17,4,141,87,0.58,56,1,2,-1,-0.03,25,1,0,0,0,0,0,0,0,0,33,2,0,260509,2026
VJC Split 1,648106,Phase 2: Lower Round 1,Split,WEC C,12,RIDDLE ORDER,14,WEC C,Jinbay,Skye,Initiator,16,16,8,174,119,1.05,81,0,1,-1,0.56,16,5,0,0,0,1,0,0,0,0,44,8,0,260527,2026
VJC Split 1,614884,Advance Stage (A): Day 1,Bind,BC SWELL,13,WEC C,2,WEC C,RONY,Fade,Initiator,7,14,2,150,106,0.47,40,0,3,-3,-0.03,31,3,0,0,0,0,0,0,0,0,44,0,0,252072,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Bind,WEC C,13,ZETA DIVISION Academy,8,WEC C,RONY,Fade,Initiator,23,12,8,292,177,1.6,86,1,0,1,0.86,30,4,3,0,0,0,1,1,0,0,71,4,2,252345,2026
VJC Split 1,614889,Advance Stage (A): Day 2,Corrode,NORTHEPTION Youth,11,WEC C,13,WEC C,RONY,Fade,Initiator,22,16,3,240,146,1.12,75,2,1,1,0.61,40,6,0,1,0,0,0,0,0,0,56,4,0,252087,2026
VJC Split 1,614891,Advance Stage (A): Day 3,Bind,QT DIG∞,13,WEC C,5,WEC C,RONY,Fade,Initiator,16,14,4,259,172,1.25,78,1,1,0,0.31,32,2,1,1,0,0,0,0,0,0,70,2,0,252093,2026
VJC Split 1,628545,Phase 1: Upper Round 1,Bind,Murash Gaming,13,WEC C,6,WEC C,RONY,Fade,Initiator,11,13,3,165,105,0.89,58,2,1,1,0.31,18,1,0,1,0,0,0,0,0,0,46,3,0,255104,2026
VJC Split 1,614884,Advance Stage (A): Day 1,Bind,BC SWELL,13,WEC C,2,WEC C,Jinbay,Yoru,Duelist,5,13,0,107,58,0.36,47,1,1,0,0.08,17,2,0,0,0,0,0,0,0,0,25,0,0,252072,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Bind,WEC C,13,ZETA DIVISION Academy,8,WEC C,Jinbay,Yoru,Duelist,17,13,7,212,149,1.21,90,3,1,2,0.93,31,4,0,0,0,1,0,0,0,0,49,1,0,252345,2026
VJC Split 1,614891,Advance Stage (A): Day 3,Bind,QT DIG∞,13,WEC C,5,WEC C,Jinbay,Yoru,Duelist,10,11,8,170,105,1.06,67,1,1,0,0.51,33,1,1,0,0,0,0,0,0,0,42,1,0,252093,2026
VJC Split 1,614884,Advance Stage (A): Day 1,Bind,BC SWELL,13,WEC C,2,WEC C,Cazkla,Neon,Duelist,4,13,0,81,44,0.33,40,1,3,-2,0.09,8,1,0,0,0,0,0,0,0,0,24,0,1,252072,2026
VJC Split 1,614884,Advance Stage (A): Day 1,Split,BC SWELL,13,WEC C,15,WEC C,Cazkla,Neon,Duelist,17,24,8,174,100,0.68,61,1,10,-9,0.03,19,3,1,0,0,1,0,0,0,0,32,1,1,252073,2026
VJC Split 1,614884,Advance Stage (A): Day 1,Haven,BC SWELL,13,WEC C,10,WEC C,Cazkla,Neon,Duelist,19,15,3,226,122,1.06,65,4,5,-1,0.57,14,2,2,1,0,0,0,0,0,0,48,0,0,252074,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Split,WEC C,13,ZETA DIVISION Academy,9,WEC C,Cazkla,Neon,Duelist,14,15,4,186,104,0.79,68,1,4,-3,0.43,15,3,0,0,0,0,0,0,0,0,41,0,0,252081,2026
VJC Split 1,614887,Advance Stage (A): Day 2,Bind,WEC C,13,ZETA DIVISION Academy,8,WEC C,Cazkla,Neon,Duelist,13,16,4,156,85,0.7,71,4,4,0,0.52,11,1,0,0,0,0,0,0,0,0,37,1,0,252345,2026
VJC Split 1,614889,Advance Stage (A): Day 2,Corrode,NORTHEPTION Youth,11,WEC C,13,WEC C,Cazkla,Neon,Duelist,14,17,5,153,98,0.69,71,3,3,0,0.53,27,2,0,0,0,0,0,0,0,0,38,1,0,252087,2026
VJC Split 1,614889,Advance Stage (A): Day 2,Split,NORTHEPTION Youth,13,WEC C,15,WEC C,Cazkla,Neon,Duelist,15,19,5,155,93,0.77,71,2,6,-4,0.36,24,5,0,0,0,0,0,0,0,0,35,1,1,252088,2026
VJC Split 1,614891,Advance Stage (A): Day 3,Bind,QT DIG∞,13,WEC C,5,WEC C,Cazkla,Neon,Duelist,12,16,7,216,122,1.01,78,1,4,-3,0.14,7,3,0,1,0,0,0,0,0,0,56,0,0,252093,2026
VJC Split 1,614891,Advance Stage (A): Day 3,Split,QT DIG∞,7,WEC C,13,WEC C,Cazkla,Neon,Duelist,17,14,2,211,129,1.06,85,3,1,2,0.66,20,5,0,0,0,1,0,0,0,0,48,0,2,252094,2026
VJC Split 1,614891,Advance Stage (A): Day 3,Haven,QT DIG∞,13,WEC C,9,WEC C,Cazkla,Neon,Duelist,8,16,4,114,80,0.55,59,2,3,-1,0.23,14,1,0,0,0,0,0,0,0,0,34,1,1,252095,2026
VJC Split 1,628545,Phase 1: Upper Round 1,Split,Murash Gaming,6,WEC C,13,WEC C,Cazkla,Neon,Duelist,17,14,6,267,167,1.31,68,3,1,2,0.32,17,4,2,0,0,0,1,0,0,0,58,0,0,255102,2026
VJC Split 1,628545,Phase 1: Upper Round 1,Haven,Murash Gaming,13,WEC C,6,WEC C,Cazkla,Neon,Duelist,11,16,2,163,100,0.68,63,2,3,-1,0.18,17,3,1,0,0,0,0,0,0,0,39,0,0,255103,2026
VJC Split 1,628545,Phase 1: Upper Round 1,Bind,Murash Gaming,13,WEC C,6,WEC C,Cazkla,Neon,Duelist,10,16,3,150,79,0.56,58,2,3,-1,0.15,13,2,1,0,0,0,0,0,0,0,31,1,0,255104,2026
VJC Split 1,628551,Phase 1: Lower Round 1,Split,REJECT,13,WEC C,9,WEC C,Cazkla,Neon,Duelist,18,19,4,256,152,1.08,59,2,5,-3,-0.06,25,1,4,0,0,0,0,0,0,0,58,0,1,255120,2026
